International Designator,Launch Vehicle,Payload,Country,Launch date
1998-057,ATLAS 2A CENTAUR R/B,EUTELSAT 4B,EUTE,1998-10-09
1998-058,ATLAS 2A CENTAUR R/B,UFO 9 (USA 140),US,1998-10-20
1998-059,N/A,MAQSAT 3 & ARIANE 5 R/B,FR,1998-10-21
1998-060,PEGASUS R/B|PEGASUS DEB,SCD 2,BRAZ,1998-10-23
1998-061,DELTA 2 R/B(1)|DELTA 2 R/B(2),DEEP SPACE 1 (DS1)|SEDSAT 1 (SO-33),US,1998-10-24
1998-062,SL-4 R/B,PROGRESS-M 40|SPUTNIK 41,CIS,1998-10-25
1998-063,ARIANE 42L R/B|ARIANE DEB [MINI-SPELDA,AFRISTAR|AMC-5 (GE-5),US,1998-10-28
1998-064,N/A,STS 95|PAN SAT (PO-34)|SPARTAN 201,US,1998-10-29
1998-065,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),INTELSAT 8 (IS-8),US,1998-11-04
1998-066,DELTA 2 R/B,IRIDIUM 2|IRIDIUM 86|IRIDIUM 85|IRIDIUM 84|IRIDIUM 83,US,1998-11-06
1998-067,ISS DEB|ISS DEB [SOCKET EXT]|ISS DEB [CAMERA]|ISS DEB|ISS DEB [VSSA]|SL-13 R/B|ISS DEB [EAS]|ISS DEB|ISS DEB [TOOL BAG]|ISS DEB|ISS DEB [MOI COVER]|ISS DEB|ISS DEB [MRC CABLE COIL|ISS DEB [VSPLESK PLAT]|ISS DEB|ISS DEB [TRUSS]|ISS DEB|ISS DEB [ANTENNA]|ISS DEB,ISS (ZARYA)|RADIOSCAF-B (KEDR)|SFERA|RAIKO|FITSAT-1 (NIWAKA)|TECHEDSAT|F-1|WE-WISH|ARDUSAT-1|PICODRAGON|ARDUSAT-X|TECHEDSAT-3P|FLOCK 1-3|FLOCK 1-1|FLOCK 1-2|FLOCK 1-4|FLOCK 1-5|FLOCK 1-6|FLOCK 1-7|FLOCK 1-8|FLOCK 1-9|FLOCK 1-10|FLOCK 1-11|FLOCK 1-12|FLOCK 1-13|FLOCK 1-14|FLOCK 1-15|FLOCK 1-16|FLOCK 1-17|FLOCK 1-18|FLOCK 1-21|FLOCK 1-22|FLOCK 1-19|FLOCK 1-20|FLOCK 1-23|FLOCK 1-24|FLOCK 1-25|FLOCK 1-26|FLOCK 1-27|FLOCK 1-28|SKYCUBE|LITSAT-1|LITUANICASAT-1|ARDUSAT-2|UAPSAT 1|CHASQUI-1|FLOCK 1B-24|FLOCK 1B-23|FLOCK 1B-26|FLOCK 1B-25|FLOCK 1B-15|FLOCK 1B-16|FLOCK 1B-1|FLOCK 1B-2|FLOCK 1B-8|FLOCK 1B-7|FLOCK 1B-18|FLOCK 1B-17|SPINSAT|AESP 14|FLOCK 1B-27|FLOCK 1B-28|FLOCK 1B-21|FLOCK 1B-22|FLOCK 1B-10|FLOCK 1B-9|FLOCK 1D-1|FLOCK 1D-2|FLOCK 1B-5|FLOCK 1B-6|TECHEDSAT 4|GEARRS-1|MICROMAS|LAMBDASAT|FLOCK 1B-11|FLOCK 1B-12|FLOCK 1E-2|FLOCK 1E-1|FLOCK 1E-4|FLOCK 1E-3|FLOCK 1E-7|FLOCK 1E-8|FLOCK 1E-5|FLOCK 1E-6|FLOCK 1E-9|FLOCK 1E-10|FLOCK 1E-11|FLOCK 1E-12|FLOCK 1E-13|FLOCK 1E-14|ARKYD-3R|CENTENNIAL 1|SERPENS|S-CUBE|AAUSAT 5|GOMX 3|FLOCK 2B-1|FLOCK 2B-2|FLOCK 2B-3|FLOCK 2B-4|FLOCK 2B-5|FLOCK 2B-6|FLOCK 2B-7|FLOCK 2B-8|FLOCK 2B-10|FLOCK 2B-9|FLOCK 2B-13|FLOCK 2B-14,ISS,1998-11-20
1998-068,DELTA 2 R/B(1)|DELTA 2 R/B(2),BONUM-1,CIS,1998-11-22
1998-069,STS 88 DEB [WIRE CARRIE|STS 88 DEB [SOCKET],STS 88|SAC-A|MIGHTYSAT 1|ISS (UNITY),US,1998-12-04
1998-070,ARIANE 42L R/B,EUTELSAT 115 WEST A,EUTE,1998-12-06
1998-071,PEGASUS R/B|PEGASUS DEB,SWAS,US,1998-12-06
1998-072,SL-8 R/B,NADEZHDA 5|ASTRID 2,CIS,1998-12-10
1998-073,DELTA R/B(1)|DELTA R/B(2),MARS CLIMATE ORBITER,US,1998-12-11
1998-074,CZ-2 R/B|CZ-2 SMART DISPENSER|CZ-2 DEB,IRIDIUM 20|IRIDIUM 11,US,1998-12-19
1998-075,ARIANE 42L R/B,INTELSAT 6B (IS-6B),US,1998-12-22
1998-076,SL-8 R/B,COSMOS 2361,CIS,1998-12-24
1998-077,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 DEB|SL-12 R/B(AUX MOTOR)|SL-12 DEB,COSMOS 2364 [GLONASS]|COSMOS 2363 [GLONASS]|COSMOS 2362 [GLONASS],CIS,1998-12-30
1999-001,DELTA 2 R/B(2)|DELTA 2 R/B(1),MARS POLAR LANDER,US,1999-01-03
1999-002,ATHENA 1 R/B(OAM),FORMOSAT-1 (ROCSAT 1),ROC,1999-01-27
1999-003,DELTA R/B(1)|DELTA R/B(2),STARDUST|STARDUST SRC,US,1999-02-07
1999-004,SL-4 R/B(1),GLOBALSTAR M023|GLOBALSTAR M040|GLOBALSTAR M036|GLOBALSTAR M038,GLOB,1999-02-09
1999-005,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),GALAXY 26 (G-26),US,1999-02-15
1999-006,ATLAS 2AS CENTAUR R/B,JCSAT-4A,JPN,1999-02-16
1999-007,SL-4 R/B,SOYUZ-TM 29,CIS,1999-02-20
1999-008,DELTA 2 R/B|DELTA 2 DEB,ARGOS|ORSTED|SUNSAT (SO-35),US,1999-02-23
1999-009,ARIANE 44L R/B|ARIANE DEB [SPELDA],BADR-3 (ARABSAT-3A)|SKYNET 4E,AB,1999-02-26
1999-010,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),RADUGA-1 4,CIS,1999-02-28
1999-011,PEGASUS R/B|WIRE DEB,WIRE,US,1999-03-05
1999-012,SL-4 R/B(1)|SL-4 R/B(2),GLOBALSTAR M022|GLOBALSTAR M041|GLOBALSTAR M046|GLOBALSTAR M037,GLOB,1999-03-15
1999-013,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),ASIASAT 3S,AC,1999-03-21
1999-014,BLOCK DM-SL R/B,SEA LAUNCH DEMO,SEAL,1999-03-28
1999-015,SL-4 R/B,PROGRESS-M 41|SPUTNIK JR 3,CIS,1999-04-02
1999-016,ARIANE 42P R/B,INSAT-2E (APR-1),IND,1999-04-02
1999-017,TITAN 4 R/B|IUS R/B(1)|IUS R/B(2)|USA 142 DEB,USA 142 (DSP 19),US,1999-04-09
1999-018,ATLAS 2A CENTAUR R/B,EUTELSAT 48C,EUTE,1999-04-12
1999-019,SL-4 R/B(1)|SL-4 R/B(2),GLOBALSTAR M045|GLOBALSTAR M019|GLOBALSTAR M044|GLOBALSTAR M042,GLOB,1999-04-15
1999-020,DELTA 2 R/B,LANDSAT 7,US,1999-04-15
1999-021,SS-18 DEB|SS-18 R/B,UOSAT 12 (UO-36),UK,1999-04-21
1999-022,SL-8 R/B,ABRIXAS|MEGSAT,GER,1999-04-28
1999-023,TITAN 4B CENTAUR R/B,USA 143 (MILSTAR-2 1),US,1999-04-30
1999-024,DELTA R/B|ORION 3 DEB,ORION 3,US,1999-05-05
1999-025,FENGYUN 1C DEB|CZ-4B R/B|FENGYUN 1C DEB|CZ-4B DEB|FENGYUN 1C DEB|CZ-4B DEB|FENGYUN 1C DEB,FENGYUN 1C|SJ-5,PRC,1999-05-10
1999-026,PEGASUS R/B(1)|PEGASUS R/B(2)|PEGASUS DEB,TERRIERS|MUBLCOM,US,1999-05-18
1999-027,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),NIMIQ 1,CA,1999-05-20
1999-028,TITAN 4 R/B|USA 144 DEB,USA 144,US,1999-05-22
1999-029,PSLV R/B,KITSAT 3|DLR-TUBSAT|IRS-P4 (OCEANSAT 1),SKOR,1999-05-26
1999-030,N/A,STS 96|STARSHINE,US,1999-05-27
1999-031,DELTA 2 R/B|GLOBALSTAR DEB,GLOBALSTAR M025|GLOBALSTAR M049|GLOBALSTAR M047|GLOBALSTAR M052,GLOB,1999-06-10
1999-032,CZ-2 R/B|CZ-2 SMART DISPENSER|CZ-2 DEB,IRIDIUM 14|IRIDIUM 21,US,1999-06-11
1999-033,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),ASTRA 1H,SES,1999-06-18
1999-034,TITAN 2 R/B,QUIKSCAT,US,1999-06-20
1999-035,DELTA 2 R/B|FUSE 1 DEB,FUSE 1,US,1999-06-24
1999-036,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 3-50,CIS,1999-07-08
1999-037,DELTA 2 R/B,GLOBALSTAR M035|GLOBALSTAR M032|GLOBALSTAR M051|GLOBALSTAR M030,GLOB,1999-07-10
1999-038,SL-4 R/B,PROGRESS-M 42,CIS,1999-07-16
1999-039,SL-16 R/B|SL-16 DEB,OKEAN-O,CIS,1999-07-17
1999-040,IUS R/B(1)|IUS R/B(2)|IUS DEB,STS 93|CXO,US,1999-07-23
1999-041,DELTA 2 R/B,GLOBALSTAR M048|GLOBALSTAR M026|GLOBALSTAR M043|GLOBALSTAR M028,GLOB,1999-07-25
1999-042,ARIANE 42P R/B,TELKOM 1,INDO,1999-08-12
1999-043,DELTA 2 R/B,GLOBALSTAR M024|GLOBALSTAR M027|GLOBALSTAR M054|GLOBALSTAR M053,GLOB,1999-08-17
1999-044,SL-4 R/B|SL-4 DEB,COSMOS 2365,CIS,1999-08-18
1999-045,SL-8 R/B,COSMOS 2366,CIS,1999-08-26
1999-046,ARIANE 42P R/B,ABS-7,ABS,1999-09-04
1999-047,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 DEB|SL-12 R/B(AUX MOTOR),YAMAL 101|YAMAL 102,CIS,1999-09-06
1999-048,SL-4 R/B|FOTON 12 DEB,FOTON 12,CIS,1999-09-09
1999-049,SL-4 R/B(1)|SL-4 R/B(2),GLOBALSTAR M058|GLOBALSTAR M050|GLOBALSTAR M033|GLOBALSTAR M055,GLOB,1999-09-22
1999-050,ATLAS 2A CENTAUR R/B,ECHOSTAR 5,US,1999-09-23
1999-051,OAM|ATHENA 2 R/B|IKONOS 2 DEB,IKONOS 2,US,1999-09-24
1999-052,ARIANE 44LP R/B,GALAXY 27 (G-27),ITSO,1999-09-25
1999-053,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),ABS-6,ABS,1999-09-26
1999-054,SL-4 R/B|RESURS DEB,RESURS F-1M,CIS,1999-09-28
1999-055,DELTA 2 R/B(1)|DELTA 2 R/B(2) [PAM-D]|DELTA 2 DEB,NAVSTAR 46 (USA 145),US,1999-10-07
1999-056,BLOCK DM-SL R/B,DIRECTV 1R,US,1999-10-10
1999-057,CZ-4B DEB|CZ-4B R/B|CZ-4B DEB|CBERS 1 DEB|CZ-4B DEB|CBERS 1 DEB|CZ-4B DEB|CBERS 1 DEB|CZ-4B DEB|CBERS 1 DEB|CZ-4B DEB|CBERS 1 DEB|CZ-4B DEB|CBERS 1 DEB|CZ-4B DEB|CBERS 1 DEB|CZ-4 DEB|CZ-4B DEB|CBERS 1 DEB|CZ-4B DEB,CBERS 1 (ZY 1A)|SACI 1,CHBZ,1999-10-14
1999-058,SL-4 R/B(1)|SL-4 R/B(2),GLOBALSTAR M057|GLOBALSTAR M059|GLOBALSTAR M056|GLOBALSTAR M031,GLOB,1999-10-18
1999-059,ARIANE 44LP R/B,TELSTAR 12 (ORION 2),US,1999-10-19
1999-060,ARIANE 44LP R/B,AMC-4 (GE-4),SES,1999-11-13
1999-061,CZ-5 R/B|CZ-5 DEB|SZ-1 DEB,SHENZHOU 1 (SZ-1),PRC,1999-11-19
1999-062,SL-4 R/B(1)|SL-4 R/B(2),GLOBALSTAR M039|GLOBALSTAR M034|GLOBALSTAR M029|GLOBALSTAR M061,GLOB,1999-11-22
1999-063,ATLAS 2A CENTAUR R/B,UFO 10 (USA 146),US,1999-11-23
1999-064,ARIANE 40 R/B,HELIOS 1B|CLEMENTINE,FR,1999-12-03
1999-065,PEGASUS R/B(1)|PEGASUS R/B(2),ORBCOMM FM30|ORBCOMM FM31|ORBCOMM FM32|ORBCOMM FM33|ORBCOMM FM36|ORBCOMM FM35|ORBCOMM FM34,ORB,1999-12-04
1999-066,ARIANE 5 R/B,XMM-NEWTON,ESA,1999-12-10
1999-067,DMSP 5D-3 F15 DEB,DMSP 5D-3 F15 (USA 147),US,1999-12-12
1999-068,ATLAS 2A CENTAUR R/B,TERRA,US,1999-12-18
1999-069,N/A,STS 103,US,1999-12-20
1999-070,TAURUS DEB,ARIRANG-1 (KOMPSAT-1)|ACRIMSAT|CELESTIS-03 & TAURUS R/,SKOR,1999-12-21
1999-071,ARIANE 44L R/B,GALAXY 11 (G-11),US,1999-12-22
1999-072,SL-11 R/B|COSMOS 2367 DEB,COSMOS 2367,CIS,1999-12-26
1999-073,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 2368,CIS,1999-12-27
2000-001,ATLAS 2A CENTAUR R/B|IABS R/B,USA 148,US,2000-01-21
2000-002,ARIANE 42L R/B,GALAXY 10R (G-10R),US,2000-01-25
2000-003,CZ-3A R/B,ZHONGXING-22,PRC,2000-01-25
2000-004,MINOTAUR R/B|MINOTAUR DEB|PICOSAT DEB,JAWSAT (WO-39)|OCS|OPAL (OO-38)|FALCONSAT|ASUSAT (AO-37)|PICOSAT 1 & 2 [TETHERED|PICOSAT 3|PICOSAT 4|PICOSAT 5|PICOSAT 6,US,2000-01-27
2000-005,SL-4 R/B,PROGRESS-M1 1,CIS,2000-02-01
2000-006,SL-16 R/B|SL-16 DEB,COSMOS 2369,CIS,2000-02-03
2000-007,ATLAS 2AS CENTAUR R/B,HISPASAT 1C,SPN,2000-02-03
2000-008,DELTA 2 R/B,GLOBALSTAR M063|GLOBALSTAR M062|GLOBALSTAR M060|GLOBALSTAR M064,GLOB,2000-02-08
2000-009,N/A,DUMSAT|FREGAT R/B,CIS,2000-02-08
2000-010,N/A,STS 99,US,2000-02-11
2000-011,SL-12 R/B(2),GARUDA 1,INDO,2000-02-12
2000-012,ARIANE 44LP R/B,SUPERBIRD-B2,JPN,2000-02-18
2000-013,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),EXPRESS-A2,CIS,2000-03-12
2000-014,TAURUS R/B,MTI,US,2000-03-12
2000-015,FREGAT DEB,CLUSTER 2 & FREGAT R/B,CIS,2000-03-20
2000-016,ARIANE 5 DEB [SYLDA]|ARIANE 5 R/B,ASIASTAR|INSAT-3B,US,2000-03-21
2000-017,DELTA 2 R/B(1)|DELTA 2 R/B(2)|DELTA 2 DEB,IMAGE,US,2000-03-25
2000-018,SL-4 R/B,SOYUZ-TM 30,CIS,2000-04-04
2000-019,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),EUTELSAT 16C,EUTE,2000-04-17
2000-020,ARIANE 42L R/B,GALAXY 4R (G-4R),US,2000-04-19
2000-021,SL-4 R/B,PROGRESS-M1 2,CIS,2000-04-25
2000-022,ATLAS 2A CENTAUR R/B,GOES 11,US,2000-05-03
2000-023,SL-4 R/B,COSMOS 2370,CIS,2000-05-03
2000-024,TITAN 4 R/B|IUS R/B(1)|IUS R/B(2)|USA 149 DEB,USA 149 (DSP 20),US,2000-05-08
2000-025,DELTA 2 R/B(1)|DELTA 2 R/B(2) [PAM-D]|DELTA 2 DEB,NAVSTAR 47 (USA 150),US,2000-05-11
2000-026,SL-19 R/B,SIMSAT 1|SIMSAT 2,CIS,2000-05-16
2000-027,N/A,STS 101,US,2000-05-19
2000-028,ATLAS CENTAUR R/B,EUTELSAT 36A,EUTE,2000-05-24
2000-029,BREEZE-M R/B|BREEZE-M DEB [TANK],GORIZONT 33,CIS,2000-06-06
2000-030,PEGASUS R/B,TSX-5,US,2000-06-07
2000-031,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),EXPRESS-A3,CIS,2000-06-24
2000-032,CZ-3A R/B|FENGYUN 2B AKM,FENGYUN 2B,PRC,2000-06-25
2000-033,SL-8 R/B|NADEZHDA 6 DEB,NADEZHDA 6|TZINGHUA 1|SNAP 1,CIS,2000-06-28
2000-034,ATLAS 2A CENTAUR R/B,TDRS 8,US,2000-06-30
2000-035,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),SIRIUS-1,US,2000-06-30
2000-036,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 2371,CIS,2000-07-04
2000-037,SL-13 R/B,ISS (ZVEZDA),ISS,2000-07-12
2000-038,ATLAS 2A CENTAUR R/B,ECHOSTAR 6,US,2000-07-14
2000-039,N/A,MITA-O (NINA)|CHAMP|BIRD-RUBIN & SL-8 R/B,IT,2000-07-15
2000-040,DELTA 2 R/B(1)|DELTA 2 R/B(2) [PAM-D]|DELTA 2 DEB,NAVSTAR 48 (USA 151),US,2000-07-16
2000-041,FREGAT R/B,CLUSTER II-FM6 (SALSA)|CLUSTER II-FM7 (SAMBA),ESA,2000-07-16
2000-042,MINOTAUR R/B|PICOSAT 7 & 8 [TETHERED,MIGHTYSAT 2.1,US,2000-07-19
2000-043,BLOCK DM-SL R/B,INTELSAT 9 (IS-9),US,2000-07-28
2000-044,SL-4 R/B,PROGRESS-M1 3,CIS,2000-08-06
2000-045,FREGAT R/B,CLUSTER II-FM5 (RUMBA)|CLUSTER II-FM8 (TANGO),ESA,2000-08-09
2000-046,ARIANE 44LP DEB [SPELDA|ARIANE 44LP R/B,BRASILSAT B4|NILESAT 102,BRAZ,2000-08-17
2000-047,TITAN 4B R/B|TITAN 4B DEB,USA 152,US,2000-08-17
2000-048,DELTA 3 R/B,DM-F3,US,2000-08-23
2000-049,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR)|SL-12 DEB,RADUGA-1 5,CIS,2000-08-28
2000-050,CZ-4B R/B,JB-3 1 (ZY 2A),PRC,2000-09-01
2000-051,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),SIRIUS-2,US,2000-09-05
2000-052,ARIANE 44P R/B,EUROBIRD 4A,EUTE,2000-09-06
2000-053,STS 106 DEB,STS 106,US,2000-09-08
2000-054,ARIANE 5 R/B|ARIANE 5 DEB [SYLDA],ASTRA 2B|AMC-7 (GE-7),SES,2000-09-14
2000-055,NOAA 16 DEB,NOAA 16,US,2000-09-21
2000-056,SL-16 R/B|SL-16 DEB|COSMOS 2372 DEB,COSMOS 2372,CIS,2000-09-25
2000-057,DNEPR 1 R/B|DNEPR 1 DEB,SAUDISAT 1A (SO-41)|MEGSAT-1|UNISAT|TIUNGSAT-1 (MO-46)|SAUDISAT 1B (SO-42),SAUD,2000-09-26
2000-058,SL-4 R/B,COSMOS 2373,CIS,2000-09-29
2000-059,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),NSS-11 (AAP-1),SES,2000-10-01
2000-060,ARIANE 42L R/B,N-SAT-110 (JCSAT-110),JPN,2000-10-06
2000-061,PEGASUS R/B,HETE-2,US,2000-10-09
2000-062,N/A,STS 92,US,2000-10-11
2000-063,SL-12 PLAT|SL-12 R/B(1)|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 2375 [GLONASS]|COSMOS 2376 [GLONASS]|COSMOS 2374 [GLONASS],CIS,2000-10-13
2000-064,SL-4 R/B,PROGRESS-M 43,CIS,2000-10-16
2000-065,ATLAS 2A CENTAUR R/B|IABS R/B,USA 153,US,2000-10-20
2000-066,BLOCK DM-SL R/B,THURAYA-1,UAE,2000-10-21
2000-067,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),AMC-6 (GE-6),SES,2000-10-21
2000-068,ARIANE 44LP R/B,INTELSAT 12 (IS-12),ITSO,2000-10-29
2000-069,CZ-3A R/B,BEIDOU 1A,PRC,2000-10-30
2000-070,SL-4 R/B,SOYUZ-TM 31,CIS,2000-10-31
2000-071,DELTA 2 R/B(1)|DELTA 2 R/B(2) [PAM-D]|DELTA 2 DEB,NAVSTAR 49 (USA 154),US,2000-11-10
2000-072,ARIANE 5 R/B|ARIANE 5 DEB [SYLDA],INTELSAT 1R (IS-1R)|PHASE 3D (AO-40)|STRV 1C|STRV 1D,US,2000-11-16
2000-073,SL-4 R/B,PROGRESS-M1 4,CIS,2000-11-16
2000-074,N/A,QUICKBIRD 1,US,2000-11-20
2000-075,DELTA 2 R/B|DELTA 2 DEB(DPAF)|DELTA 2 DEB,EO-1|SAC-C|MUNIN,US,2000-11-21
2000-076,ARIANE 44L R/B,ANIK F1,CA,2000-11-21
2000-077,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),SIRIUS-3,US,2000-11-30
2000-078,N/A,STS 97|FLOATING POTENTIAL PROB,US,2000-12-01
2000-079,SL-18 R/B,EROS A1,ISRA,2000-12-05
2000-080,ATLAS 2AS CENTAUR R/B,USA 155,US,2000-12-06
2000-081,ARIANE 5 R/B|ARIANE 5 DEB [SYLDA],ASTRA 2D|AMC-8 (GE-8)|LDREX,SES,2000-12-20
2000-082,CZ-3A R/B,BEIDOU 1B,PRC,2000-12-20
2001-001,CZ-2F R/B,SHENZHOU 2 (SZ-2)|SZ-2 MODULE,PRC,2001-01-09
2001-002,ARIANE 44P R/B,TURKSAT 2A,TURK,2001-01-10
2001-003,SL-4 R/B,PROGRESS-M1 5,CIS,2001-01-24
2001-004,DELTA 2 R/B(1)|DELTA 2 R/B(2) [PAM-D]|DELTA 2 DEB,NAVSTAR 50 (USA 156),US,2001-01-30
2001-005,ARIANE 44L R/B|ARIANE DEB [SPELDA],SICRAL 1|SKYNET 4F,IT,2001-02-07
2001-006,N/A,STS 98|ISS (DESTINY),US,2001-02-07
2001-007,SL-18 R/B|SL-18 DEB,ODIN,SWED,2001-02-20
2001-008,SL-4 R/B,PROGRESS-M 44,CIS,2001-02-26
2001-009,TITAN 4 CENTAUR R/B,USA 157 (MILSTAR-2 2),US,2001-02-27
2001-010,STS 102 DEB [PAD],STS 102,US,2001-03-08
2001-011,ARIANE 5 R/B|ARIANE 5 DEB [SYLDA],EUTELSAT 33C|BSAT-2A,EUTE,2001-03-08
2001-012,BLOCK DM-SL R/B,XM-2 (ROCK),US,2001-03-18
2001-013,MARS ODYSSEY R/B(PAM-D)|DELTA 2 R/B,MARS ODYSSEY,US,2001-04-07
2001-014,BREEZE-M DEB [TANK]|BREEZE-M R/B,EKRAN 21,CIS,2001-04-07
2001-015,GSLV R/B,GSAT-1,IND,2001-04-18
2001-016,N/A,STS 100,US,2001-04-19
2001-017,SL-4 R/B,SOYUZ-TM 32,CIS,2001-04-28
2001-018,BLOCK DM-SL R/B,XM-1 (ROLL),US,2001-05-08
2001-019,SL-12 R/B(1)|SL-12 PLAT|BLOCK DM R/B,INTELSAT 10 (IS-10),US,2001-05-15
2001-020,DELTA 2 R/B(1)|DELTA 2 R/B(2),USA 158,US,2001-05-18
2001-021,SL-4 R/B,PROGRESS-M1 6,CIS,2001-05-20
2001-022,SL-4 R/B,COSMOS 2377,CIS,2001-05-29
2001-023,SL-8 R/B,COSMOS 2378,CIS,2001-06-08
2001-024,ARIANE 44L R/B,INTELSAT 901 (IS-901),ITSO,2001-06-09
2001-025,SL-12 R/B(1)|SL-12 R/B(2)|SL-12 PLAT,ASTRA 2C,SES,2001-06-16
2001-026,ATLAS 2AS CENTAUR R/B,ICO F2,NICO,2001-06-19
2001-027,DELTA 2 R/B,WMAP (MAP),US,2001-06-30
2001-028,N/A,STS 104,US,2001-07-12
2001-029,ARIANE 5 R/B|ARIANE 5 DEB [SYLDA],ARTEMIS|BSAT-2B,ESA,2001-07-12
2001-030,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2)|SL-6 DEB,MOLNIYA 3-51,CIS,2001-07-20
2001-031,ATLAS 2A CENTAUR R/B,GOES 12,US,2001-07-23
2001-032,SL-14 R/B|SL-14 DEB,CORONAS F,CIS,2001-07-31
2001-033,TITAN 4B R/B|IUS R/B(1)|IUS R/B(2)|USA 159 DEB,USA 159 (DSP 21),US,2001-08-06
2001-034,DELTA 2 R/B(1)|DELTA 2 R/B(2),GENESIS|GENESIS SRC,US,2001-08-08
2001-035,SIMPLESAT 1,STS 105,US,2001-08-10
2001-036,SL-4 R/B,PROGRESS-M 45,CIS,2001-08-21
2001-037,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR)|SL-12 DEB,COSMOS 2379,CIS,2001-08-24
2001-038,H-2A R/B,LRE,JPN,2001-08-29
2001-039,ARIANE 44L R/B,INTELSAT 902 (IS-902),ITSO,2001-08-30
2001-040,ATLAS 2AS CENTAUR R/B|USA 160 DEB,USA 160,US,2001-09-08
2001-041,SL-4 R/B,PROGRESS-DC 1,CIS,2001-09-14
2001-042,ARIANE 44P R/B,EUTELSAT 8 WEST A,EUTE,2001-09-25
2001-043,ATHENA 1 R/B(OAM),STARSHINE 3 & SO-43|PICOSAT 9|PCSAT (NO-44)|SAPPHIRE (NO-45),US,2001-09-30
2001-044,TITAN 4 R/B,USA 161,US,2001-10-05
2001-045,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR)|SL-12 DEB,RADUGA-1 6,CIS,2001-10-06
2001-046,ATLAS 2AS CENTAUR R/B,USA 162,US,2001-10-11
2001-047,DELTA 2 R/B,QUICKBIRD 2,US,2001-10-18
2001-048,SL-4 R/B,SOYUZ-TM 33,CIS,2001-10-21
2001-049,PSLV DEB|PSLV R/B|PSLV DEB,TES|PROBA-1|BIRD 2,IND,2001-10-22
2001-050,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 3-52,CIS,2001-10-25
2001-051,SL-4 R/B,PROGRESS-M1 7|KOLIBRI-2000,CIS,2001-11-26
2001-052,ARIANE 44LP R/B,DIRECTV 4S,US,2001-11-27
2001-053,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 2382 [GLONASS-M]|COSMOS 2381 [GLONASS]|COSMOS 2380 [GLONASS],CIS,2001-12-01
2001-054,N/A,STS 108|STARSHINE 2,US,2001-12-05
2001-055,DELTA 2 R/B|DELTA 2 DEB [DPAF]|TIMED DEB|JASON DEB,JASON 1|TIMED,US,2001-12-07
2001-056,SL-16 R/B|SL-16 DEB,METEOR-3M|KOMPASS|BADR-B|MAROC-TUBSAT|REFLECTOR,CIS,2001-12-10
2001-057,SL-11 R/B|COSMOS 2383 DEB,COSMOS 2383,CIS,2001-12-21
2001-058,SL-14 R/B,COSMOS 2384|COSMOS 2385|COSMOS 2386|GONETS-D1 7|GONETS-D1 8|GONETS-D1 9,CIS,2001-12-28
2002-001,TITAN 4 CENTAUR R/B,USA 164 (MILSTAR-2 3),US,2002-01-14
2002-002,ARIANE 42L R/B,INSAT-3C,IND,2002-01-23
2002-003,H-2A R/B|H-2A DEB,TSUBASA (MDS-1)|DASH & VEP 3,JPN,2002-02-04
2002-004,PEGASUS R/B,RHESSI,US,2002-02-05
2002-005,DELTA 2 R/B|IRIDIUM 91 DEB,IRIDIUM 91|IRIDIUM 90|IRIDIUM 94|IRIDIUM 95|IRIDIUM 96,US,2002-02-11
